"day","temp","dewp","visib","NUM_COLLISIONS"
5,58.6,45.6,9.8,599
7,59.8,55.3,9.8,734
4,62.8,57.5,10,605
3,63.9,58.4,9.8,603
2,61,53.5,9.7,510
3,62.2,56.1,9.3,624
4,63,56,10,608
2,64.7,57.9,9.5,537
6,74.7,61.7,8.9,574
5,72.9,65.8,9.9,609
6,71.5,67,9.7,675
7,64.3,56.7,10,700
7,67.4,60.8,10,653
7,70.4,63.5,8.6,729
3,71.9,66.3,8.6,548
3,66.3,59.2,7.8,604
5,73.9,70.1,6.3,594
3,71.7,69.2,3.8,575
6,68.7,66.7,4.1,603
4,32,22.9,10,707
1,34.8,27.7,10,439
5,46.9,39.2,10,599
4,48.3,34.9,10,651
4,46.7,36.2,10,631
5,46.5,41.4,10,635
2,53.7,44.4,10,472
3,49.7,37.9,9.9,598
6,58,51.3,10,511
5,51.6,46.1,8.8,541
3,49.2,43.4,5.1,561
5,52.8,46.7,10,498
6,47.7,40.9,9.9,518
6,57.3,50.9,10,764
4,60.4,54.5,10,529
1,71.1,65.4,10,651
1,73.9,71.1,4.8,581
2,66.7,56.6,10,627
4,72.6,69.7,3.6,606
6,67.5,66,9.1,713
6,67.8,66,8.8,650
3,68.7,67.9,2.6,719
1,70.3,60.1,9.1,502
6,71.1,65.8,8.4,714
4,67.8,66.8,4.3,577
4,70.3,65.9,8.7,658
3,73.1,65.1,10,530
6,68,60.8,9.1,639
2,67,64,10,528
3,33.5,21.2,10,658
5,33.5,28,9.1,537
1,33.3,25.6,10,520
7,47.5,34.1,10,515
4,49.5,43.2,10,459
5,70.2,65.1,9.2,654
1,68.5,60.2,9.7,451
6,66.6,63.7,6.3,394
4,71.5,64.7,10,650
4,54.6,49.5,10,689
2,57.7,43.7,10,526
4,69.4,67.9,4,706
7,67.1,58.9,9.4,650
1,70.4,61.3,9.9,538
5,70.1,65.7,4.4,562
5,70.6,62.6,10,553
7,62.6,58.5,9.5,631
2,60.8,49.4,10,582
7,62.8,57.5,9.3,658
7,74.9,72.1,6.3,703
2,23.1,14.2,9.1,693
7,58.6,58.4,4.8,751
3,55.2,41.1,10,623
1,64.1,56.8,9.9,570
7,67.5,62.9,9,667
6,61.4,60.1,5.6,734
4,66.2,54.5,10,543
3,63.9,57.3,10,656
4,63.8,60.7,8.7,569
1,62.4,62,6.7,567
1,58.7,45.2,10,562
4,59.1,52.4,10,540
2,60.6,59.2,10,528
2,73.9,62.4,10,471
4,67.7,59.2,10,622
7,71.6,64.1,7.4,610
2,64.7,64.2,4.8,586
7,67.1,61.5,10,681
6,69.3,65.6,7.8,744
6,65.8,56.3,10,590
1,67.1,58.1,10,602
7,38.6,35.8,6.7,589
5,36.9,27.1,10,584
1,38.3,31.9,9.9,601
3,51.5,44,10,440
4,26.5,10.5,10,474
5,42.9,33.8,10,628
2,41.4,34,9.8,409
6,39,26.7,10,628
7,40.8,30.7,10,502
4,43,42.1,3,570
7,55.9,51.1,9.6,647
5,56.3,47.6,10,575
3,61.2,57,7.1,528
5,66.4,64.6,3.9,482
6,67.3,61.5,9.7,675
3,78.5,56.8,10,533
5,65.6,64.3,1.5,502
2,62.3,53.6,10,498
3,62.1,50.3,10,644
7,64.9,57.6,10,659
3,64.9,60.9,10,427
5,68.7,68.6,1.5,696
4,71.1,69.4,1.7,700
6,67.9,57.5,10,739
6,73.8,71.2,5.6,716
7,64.8,55.1,10,726
7,70.1,66.5,7.9,760
6,68.9,63.6,5.9,761
4,68.9,65.5,9.8,551
5,73.6,68.9,6.5,602
5,71.7,70.5,4.8,406
4,76,62.6,9.6,520
3,74.8,73.4,6.3,632
3,69.9,65.6,9.8,627
2,83.6,63,9.7,538
2,30.3,18.2,10,450
7,41.3,36.8,10,645
7,37.5,31.9,10,732
7,39.9,32.5,10,605
3,50.5,49.6,6.4,689
2,49.3,44.1,10,500
5,57.1,53.5,6.4,494
1,57.5,48.6,10,475
2,54.7,45.1,7,526
3,60.5,56.1,9.9,490
5,57,50.5,10,668
4,63.7,54.2,7.3,593
1,55.7,48.8,9.7,568
2,66.4,64.6,6,476
5,75.4,66.3,10,690
4,72,61.5,9.8,424
3,71.3,61.3,10,632
4,76.5,56.3,10,524
5,69.2,64.7,9.3,768
7,76.9,68.4,9.6,707
3,68.4,64.9,8.7,719
1,63.2,57.5,10,498
1,66.9,63.2,9.8,534
3,71.1,66.5,9.9,626
6,67.8,64,10,549
5,71,69.6,3.1,783
2,71.2,69.7,4.2,481
2,63.8,56.6,10,473
5,70.3,66.7,7.1,562
7,81.9,62.3,10,638
2,45.4,44.9,4.3,373
2,40,32.8,9.8,459
6,41.6,40.3,8.1,613
6,42.2,34.3,10,428
3,39.7,36.7,7.5,651
2,42.6,36.3,10,448
4,35.4,34.9,2.6,542
2,34.5,29.9,7.6,394
3,46.6,42.4,10,541
1,50.1,47.2,10,456
4,46.5,42.5,10,702
1,51.2,43.6,9.6,612
7,49.7,42.2,10,650
6,70.4,54.8,10,632
1,70.3,66.6,10,566
7,71.4,59.5,10,609
7,70.5,57.7,9.7,609
3,73.3,72.1,3.5,563
5,68.5,49.7,10,651
6,55.1,54.6,3.7,698
5,62.3,59.6,6.7,591
5,49.9,41.4,7.4,576
3,71.4,56.7,10,473
5,72.2,68.4,7.8,616
1,69.8,63.7,8.4,540
6,68.9,64.7,9.8,643
1,65,54.1,10,480
1,70.8,66.9,9,599
7,67.8,59.7,8.4,693
1,63.8,63.5,3.9,570
1,60.1,51.2,10,510
7,58.4,55.9,7.8,710
3,56.7,50.2,7.4,547
4,54.3,48,9.9,571
6,56.8,46.7,9.7,630
5,71.5,65.8,7.3,553
1,73.5,67.3,7,623
6,64.2,57.8,10,715
1,60.2,58,4.2,635
4,67.1,61.8,9.3,622
6,71.4,71,2,620
5,64.5,55.9,9.9,508
7,65.3,60.4,9.3,700
2,61.7,52.8,10,545
3,69.2,67.1,6.5,597
1,64.9,59.5,10,577
4,84.6,63.3,9.4,648
7,57.7,47.7,10,780
4,63.2,58.4,10,697
4,61.2,50.8,10,613
1,55.5,46.3,10,544
4,75.5,68.2,10,574
6,74.3,70.3,5.9,618
4,75.2,58.1,10,547
3,76.3,71.2,9.3,581
3,69.1,68.1,7.7,617
1,67.9,66.3,3.3,575
1,63.5,55.3,9.9,600
1,65.9,61,9.3,596
1,65.7,58.8,9.9,550
1,66.5,60.3,9,552
2,63.3,58.5,9.9,512
7,65.4,57.4,9.2,813
5,37.9,33,10,612
4,55.1,49.4,9.9,639
1,50.5,38.8,10,641
1,49.5,48.3,5.1,604
2,50.5,48.7,9.2,505
4,51.9,47.1,5.6,621
3,50.9,43.2,10,451
4,38.7,27.2,7,583
1,22.2,9.9,10,538
5,39.9,37.6,6.8,487
6,40.3,24.6,10,545
5,42.8,37.1,8.8,637
6,40.8,39.3,4.6,521
7,37.9,32.3,10,841
6,39,33.6,10,611
2,38.4,30.4,10,384
5,39.3,28.6,10,519
4,39.9,26.4,10,636
3,44,42.1,7,549
1,45.6,34,10,629
2,46.1,34,9.8,477
1,55.5,50.3,9.9,650
1,59.4,57.3,6.8,531
5,57,49.3,9.7,672
2,62.7,61.5,3.7,553
6,55.5,45.3,10,613
7,62,56.1,10,690
5,56.5,53.5,6,546
3,60.2,55.1,9.7,505
1,57.3,45,10,471
2,67.5,64.8,6.7,529
1,64.3,62.7,8.4,649
6,61.1,47.4,10,650
2,68.2,65,8.8,478
4,67.1,63.5,5.9,587
3,65.9,63.2,9.2,566
7,64.6,48.8,9.8,765
1,62.6,53.5,10,700
2,63.2,49.2,9.9,477
1,62.9,55.8,9.8,706
2,61.5,49.5,9.4,533
1,67.5,65.3,3.8,533
6,68.2,59.5,10,642
7,69.2,66.9,10,685
1,62.9,55.4,8,389
5,70.8,70.2,1.8,677
4,71.2,64.3,7.8,584
2,68.2,60.3,10,528
5,67.9,58.5,9.9,706
1,71.8,67,8.2,582
6,71.7,71,1.6,720
6,72.2,69,9.7,709
3,32.7,23.9,9.7,706
3,39.9,34.7,10,522
5,39.8,31.7,9.8,520
4,35,26.7,10,537
4,47.2,38.2,10,620
7,52.6,48.4,9.8,480
4,52.2,40.5,9.6,565
4,53.5,49.6,8.1,647
1,48.9,37.4,10,357
2,55.5,46.8,10,571
6,59.4,57.4,7.9,574
4,56.6,49.6,9.9,686
4,51,30.2,10,576
2,52.5,49.7,8.1,495
2,63,60.1,6.8,508
4,63.1,59,10,628
5,72.3,68.8,6.8,611
1,68.8,66.2,9,568
1,77.9,71.7,5.7,568
5,67.1,63.5,8.2,655
4,64.3,61.6,9.9,757
5,67.3,60.6,9.3,605
6,67.7,62.9,9.6,626
3,67.5,64.2,10,606
1,65,59.4,10,529
4,71.1,69.3,8.7,619
3,68.2,63.2,10,519
2,68.8,60.1,9.4,590
6,68.7,57.9,10,670
6,70,60.2,10,631
5,81.8,65.6,9.2,432
7,38.6,33.2,9.8,604
4,30,20.2,10,545
3,36.4,35.9,7.6,559
4,31.4,16.3,10,601
2,37.4,29.3,10,502
7,52.2,50,6.1,694
4,44.7,41.7,10,671
6,51.5,48,10,693
5,46.8,38.6,10,558
2,75.4,65.9,9.8,421
4,72.8,71.4,4.5,701
4,72.4,68.7,9,643
4,69,61.7,9.7,661
1,70.3,62.5,10,539
7,65.6,58,10,732
2,69.5,56.7,10,481
5,56.1,42.7,10,571
1,59.2,50.1,10,547
2,59.5,45.8,10,559
2,73.3,70.4,9.9,499
3,67.3,66.8,3.9,639
4,68.1,64.3,7.4,646
4,71,64.7,9.5,542
2,64.6,62.1,6.4,515
4,64.7,62.1,9.5,613
4,66.1,64,7.5,675
6,63,59.4,8.3,643
6,75,68.4,6.2,570
2,56.9,54.7,5.1,515
1,54.3,50.9,4.4,560
6,66.8,65.7,2.2,658
2,70.6,68.7,4.1,574
7,66.6,64.4,7.8,523
4,66.9,66.2,2.9,678
7,67.9,67.7,6.7,827
7,28.8,22.6,9.7,667
6,58.9,55.9,9.1,690
6,59.6,56.6,9.9,757
7,67.7,66.7,2.9,758
3,70.8,68.7,7,431
5,68.6,66.6,9.9,618
1,67,59.2,9.9,577
4,70.1,69,2,551
1,67.7,67.2,2.5,573
1,66.5,63.8,4.8,613
4,69.2,67.4,3.7,606
2,70.9,69.7,7.8,499
3,66.8,62,9.7,586
4,37.7,31.7,9.1,668
7,28.3,17.3,10,583
5,33.6,24.1,9.9,538
2,41.7,29.3,10,470
7,38,31.4,10,660
5,34.5,22.8,10,562
4,48.4,46.3,4.9,736
7,53.1,46.6,10,692
5,51.9,38,10,615
5,51.6,38.3,10,603
2,45.3,39.4,10,487
3,54,41.2,10,618
5,55.4,53.1,3.6,669
4,54.1,47.5,10,687
3,37.8,31.6,9.9,720
1,24.1,12.5,10,497
1,43.7,36.4,10,406
2,44.5,38,9.9,555
3,46.1,34.2,10,603
3,43.1,36.9,10,521
4,24.8,12.2,10,532
1,28.2,14.2,10,424
2,29.9,13.3,10,522
4,37.1,26.6,10,483
7,40.1,35,10,448
4,40.7,38.5,5,592
3,37.4,28.7,10,449
7,42.5,37.5,8.3,674
3,45,38.2,10,554
4,47.3,44.5,5.3,645
6,61,59.3,3,697
3,49.5,35.9,10,687
1,54.6,45.2,10,506
3,59.5,58.7,6.5,669
1,58.8,50.3,10,583
1,57,47.3,10,594
1,62.7,58.8,9,494
5,67.2,64.8,7.2,687
6,61.8,59.2,10,610
2,63.8,50.3,9,480
6,63.4,61.5,8.1,815
3,66,60.9,8.1,552
1,61.5,55.4,9.2,595
3,73.1,69.6,9.1,651
4,73.1,69,10,644
4,79.8,56.7,10,664
7,67.4,59.7,10,678
5,63.8,55.9,9.9,551
4,62.5,55.2,10,666
6,67.1,60.6,10,567
1,62.6,57.6,9.7,646
3,68.2,65.5,6,589
7,63,51.5,10,748
3,67.3,61.6,10,610
1,59.9,46.2,10,557
5,65.2,58.5,6.4,667
1,66.3,58.8,9.7,490
5,71.1,69.7,1.9,614
2,71.4,67.9,6.9,545
6,68.7,62.5,7.1,603
5,66.6,64.8,6.6,600
1,68.1,58.5,9.8,528
5,70.1,63.3,10,635
3,67.1,62.7,6.2,774
2,72.8,69.1,6.6,447
1,65.9,65.8,4.2,526
5,70,64.4,5.3,621
1,70.4,66.2,6.6,655
4,72.8,68.7,9.7,595
5,74.5,68.8,7.6,619
4,72.8,57.2,10,482
2,67.7,61.7,8.7,559
2,74.3,70.4,8.8,573
5,75.8,71,7.6,740
4,32.5,17.5,10,597
5,26.9,8.3,9.9,461
6,35.5,30.5,8.4,508
1,38.2,30.8,10,505
5,40.1,23.6,10,550
6,38.5,38,10,696
3,52.6,48.2,6.7,637
4,51,47.2,9.5,493
7,49.5,37.8,9.5,675
4,53.9,47.3,10,615
2,51.8,46.1,9.4,474
6,52.9,50.7,3,688
6,52.7,45.2,9.2,660
2,56.3,49.4,9.3,544
6,53.9,44.5,10,694
4,60.9,58.6,3.1,613
7,58.2,48.2,8.3,737
5,55.6,42.2,10,699
7,56.4,47.9,10,782
3,62,56.1,10,583
1,63.8,59.3,10,532
1,63.1,57,10,608
5,64.9,62.1,9.9,575
1,59.4,54,6.9,589
2,59.4,50.9,10,493
6,71.5,65.7,9.9,635
6,69.4,60.8,9.9,727
5,74.6,73.6,5.9,656
2,74.3,68.8,9.5,552
5,76,69.9,5.4,629
2,70.8,66.4,8.8,563
5,67.5,64.7,6.5,538
1,62.8,56,9.3,677
2,68.7,55,10,467
4,69.2,68.1,5.7,654
1,62.1,52.1,10,688
2,68.2,65.3,8.8,604
2,64,54.6,10,459
4,67.2,62.2,10,491
5,71.6,70.3,4.2,747
7,73.4,70,9.7,756
7,71.2,61.9,10,726
2,71.7,66.1,9.4,376
7,66.3,62.1,9.5,812
5,72.9,70.9,5.6,604
4,61.5,59.5,6,662
6,73.2,65.3,9.7,572
5,40.6,35.2,9.7,477
3,38.6,31.2,9.2,568
2,35.8,29.8,10,539
4,41.3,34.1,8.3,510
2,39.7,31.7,10,418
1,31.3,15.4,10,479
5,28.1,18.4,10,585
3,35.2,29.1,9.5,580
2,51,36.8,10,479
3,48.1,30,10,623
3,46.4,33.6,10,675
6,70.4,63.4,10,731
4,73,71.1,6.6,638
7,71.7,60.3,10,490
6,60.6,53.1,9.6,681
7,58.8,50.6,10,688
3,60.9,51,9.5,626
7,60.6,54.6,10,715
2,69.3,67.7,5.8,515
5,62.8,58.8,7.9,698
6,69.5,61.4,10,605
4,71.2,68.7,7.9,469
7,60,55.8,6.5,767
1,63.4,58.5,10,599
7,59,54,9.3,728
5,62.7,59.1,10,540
7,76.7,68.5,8.5,753
3,76.5,70.8,9.5,641
1,76.2,72.3,6.1,586
6,23.5,8.3,10,561
7,38.8,30.9,7.9,714
1,61.9,53.9,9.6,524
5,55.2,51.2,7.6,582
2,61.3,59.2,4.4,486
6,74.7,70.6,5.3,774
1,74,67.2,8.8,648
1,65.6,54,9.9,623
2,68.3,64.7,8.3,476
1,68.9,67.6,1.5,471
4,64.4,61.2,6.5,724
7,64.9,60.7,9.2,684
3,60.9,53.6,10,672
4,60,51.9,10,632
5,52.5,44.6,9.8,558
3,57.7,55.9,7.1,400
3,61.4,55.9,10,745
2,75.9,64.8,9,550
4,74.5,71,8.8,623
3,74.1,70.4,7.6,592
7,60.3,47.8,10,524
2,69.4,61.9,9,454
5,71.1,68.7,8.6,537
4,69.3,65.6,8.5,557
5,70.4,65.7,10,661
6,69.1,67.3,1.8,740
4,68.2,64.8,10,705
3,37,19.8,10,518
2,38.7,30.1,10,423
1,35.1,22.7,10,523
6,52,43.4,9.6,596
6,54.8,50.9,9.1,615
7,54.9,48.6,10,660
5,25.6,18.3,10,645
7,48.6,43.1,10,455
5,45,36.9,10,510
3,41.2,27.8,9.9,411
2,40.2,32.3,9.2,451
3,59,40.4,10,562
2,69.8,68,5.7,485
5,30.6,24.5,10,626
6,29.2,20.9,10,519
7,43.8,35.3,10,688
1,48.9,46.2,9.5,602
1,44.5,35.1,10,513
3,43,31.7,10,646
4,45.6,40.5,8.3,587
7,48,30.2,10,647
1,56.3,50.9,9.8,550
6,53.3,47.6,10,642
1,50.1,40.8,8.5,578
3,55.7,42.6,10,639
5,57.8,54.9,8.4,595
5,57.8,55.1,2.5,570
2,61.2,50.7,10,476
1,53.2,44.9,10,577
2,50.8,48.7,2.7,457
6,64.7,61.4,9.9,645
5,63.6,58,10,635
3,56.3,48.8,10,435
5,66.2,64.9,3.9,708
2,63.6,57.2,6.9,533
1,62.4,52.3,10,596
1,63.6,60.3,9.9,546
1,62.3,56.3,9.8,604
1,55.3,53.2,6.2,557
1,75.7,65.2,7.3,474
5,85.3,69.1,7.2,559
3,65.7,65.5,3.4,672
7,63.9,60,7.9,568
4,67.7,65.5,4,601
2,65.3,64.3,3.7,587
6,64.4,60.3,9.7,619
2,65.1,46.5,10,458
6,55.7,53.5,6.8,683
5,63.8,54.6,10,604
3,68.3,66.1,9.6,667
6,68.5,66.8,6.3,717
5,71.9,67.4,7.2,643
5,62.1,58.7,10,628
6,72.3,60.6,10,614
1,69.1,62.1,10,579
5,68.3,55.6,10,698
5,72.8,61.9,10,748
5,71.8,65.3,8.6,680
3,73.4,69.9,4.1,727
2,27.1,12.1,10,341
5,32.1,24,8,506
5,32.3,17.7,10,495
1,34.2,31,7,507
7,31.7,25.8,6.1,600
4,34.8,25.3,10,719
1,34.7,23.9,10,504
7,36.5,25.6,10,722
5,49.1,45.1,8.3,540
2,45.2,36.3,9.7,484
2,45.4,40.9,8.5,485
